DATA_FILE,DATA_TAG,PARAMETER_FILE,START_TIME,STOP_TIME,TRIAL_DURATION,TASK_NO,REPETITION_NO,BLOCK_NO,TRIAL_NO,ANGLE_0,ANGLE_1,IMAGE_0_PROB_SWITCHING,IMAGE_1_PROB_SWITCHING,WAIT_FOR_MOUSE_TIME,ENTER_CIRCLE_TIME,DECISION_TIME,IMAGE_CHOSEN,PROBABILITY,GAME_TYPE,SWITCHED,NUMBER,CORRECT_ANSWER,SUBJ_ANSWER,ACCURACY,VERSION
JUNK,NONE,DEBUG,83753,94919,11166,4,1,1,1,240,60,90,10,995,3976,6195,IMAGE_1,10,<_>_FIVE,NONE,9,RIGHT,RIGHT,CORRECT,C:\Users\oneilk3\Desktop\LDS TETRIS\LDS TETRIS
JUNK,NONE,DEBUG,97138,100364,3226,4,1,1,2,240,60,90,10,0,461,2765,IMAGE_1,10,<_>_FIVE,NOT_SWITCHED,3,LEFT,LEFT,CORRECT,C:\Users\oneilk3\Desktop\LDS TETRIS\LDS TETRIS
JUNK,NONE,DEBUG,101849,103940,2091,4,1,1,3,240,60,90,10,1,680,1410,IMAGE_0,90,<_>_FIVE,NONE,6,RIGHT,RIGHT,CORRECT,C:\Users\oneilk3\Desktop\LDS TETRIS\LDS TETRIS
JUNK,NONE,DEBUG,105496,107447,1951,4,1,1,4,240,60,90,10,213,93,1645,IMAGE_0,90,ODD_EVEN,SWITCHED,6,RIGHT,RIGHT,CORRECT,C:\Users\oneilk3\Desktop\LDS TETRIS\LDS TETRIS
JUNK,NONE,DEBUG,109000,110749,1749,4,1,2,1,0,180,90,10,1,749,999,IMAGE_1,10,ODD_EVEN,SWITCHED,3,LEFT,LEFT,CORRECT,C:\Users\oneilk3\Desktop\LDS TETRIS\LDS TETRIS
JUNK,NONE,DEBUG,111983,113471,1488,4,1,2,2,0,180,90,10,234,405,849,IMAGE_1,10,ODD_EVEN,NOT_SWITCHED,2,RIGHT,RIGHT,CORRECT,C:\Users\oneilk3\Desktop\LDS TETRIS\LDS TETRIS
JUNK,NONE,DEBUG,115205,116212,1007,4,1,2,3,0,180,90,10,173,100,734,IMAGE_1,10,ODD_EVEN,NOT_SWITCHED,9,LEFT,LEFT,CORRECT,C:\Users\oneilk3\Desktop\LDS TETRIS\LDS TETRIS
JUNK,NONE,DEBUG,117469,118471,1002,4,1,2,4,0,180,90,10,271,93,638,IMAGE_1,10,ODD_EVEN,NOT_SWITCHED,1,LEFT,LEFT,CORRECT,C:\Users\oneilk3\Desktop\LDS TETRIS\LDS TETRIS
JUNK,NONE,DEBUG,119808,121265,1457,4,1,3,1,120,300,90,10,290,647,520,IMAGE_1,10,ODD_EVEN,NOT_SWITCHED,6,RIGHT,RIGHT,CORRECT,C:\Users\oneilk3\Desktop\LDS TETRIS\LDS TETRIS
JUNK,NONE,DEBUG,122850,124693,1843,4,1,3,2,120,300,90,10,201,359,1283,IMAGE_1,10,ODD_EVEN,NOT_SWITCHED,9,LEFT,LEFT,CORRECT,C:\Users\oneilk3\Desktop\LDS TETRIS\LDS TETRIS
JUNK,NONE,DEBUG,126188,128346,2158,4,1,3,3,120,300,90,10,298,127,1733,IMAGE_0,90,<_>_FIVE,SWITCHED,6,RIGHT,RIGHT,CORRECT,C:\Users\oneilk3\Desktop\LDS TETRIS\LDS TETRIS
JUNK,NONE,DEBUG,129878,131554,1676,4,1,3,4,120,300,90,10,486,213,977,IMAGE_1,10,ODD_EVEN,NOT_SWITCHED,4,RIGHT,RIGHT,CORRECT,C:\Users\oneilk3\Desktop\LDS TETRIS\LDS TETRIS
